name,alternate_name,alternate_name_cite,petrographic_details,petrographic_details_cite,age,age_cite,appearance,appearance_cite,poisson_ratio_low,poisson_ratio_low_citation,poisson_ratio_high,poisson_ratio_high_citation,absorption,absorption_cite,quarry_location,quarry_location_cite,archaeological_sources,archaeological_sources_cite,primary_sources,primary_sources_cite,secondary_sources,secondary_sources_cite,shapefile,shapefile_cite,notes,notes_cite,beginning_date,beginning_date_cite,ending_date,ending_date_cite,dates_of_use,dates_of_use_cite,density_avg,density_avg_cite,density_low,density_low_cite,density_high,density_high_cite,elastic_modulus_average,elastic_modulus_average_cite,elastic_modulus_low,elastic_modulus_low_cite,elastic_modulus_high,elastic_modulus_high_cite,image,image_cite,rupture_modulus_average,rupture_modulus_average_cite,rupture_modulus_low,rupture_modulus_low_cite,rupture_modulus_high,rupture_modulus_high_cite,compressive_strength_average,compressive_strength_average_cite,compressive_strength_low,compressive_strength_low_cite,compressive_strength_high,compressive_strength_high_cite
alabastro del Gebel Oust,,,Alabaster,14,,,"Dark red and pink, streaked with ""yellow ochre or cream-white""",14,,,,,,,"Djebel Oust, 25 km south of Tunis, Tunisia; local and exported regional use",14,"Imperial Palace of Ostia and Sperlonga, two large columns of approx. 42 cm. in diameter, Via Salaria.",158,,,Defect of this stone is that of being often very prickly and porous.,158,,,,,,,,,Imperial Period,14,,,,,,,,,,,,,,,,,,,,,,,,,,
breccia di Hereke,,,marble breccia,14,,,,,0.2,295,0.3,295,,,"Local use, with quarries at Hereke, coast of Turkey, near Gebze ",14,,,,,,,,,,,,,,,"Imperial Period ""and probably earlier"" ",14,,,,,,,,,,,,,Image in folder,113,,,,,,,,,,,,
breccia gialla fibrosa,,,Breccia marble,14,,,golden yellow,14,0.2,295,0.3,295,,,"Quarried at Molli, Tegoia, and Montarrenti, near Sienna, Italy; local use, possibly exported",14,"Capitoline Museum, the door jambs between the Gladiator's room and that of the Faun, another between the Emperor's room and the one of the Philosophers, Rome. ",173,"very few examples, scarse",173,geological composition is polymict limestone breccia/conglomerate,112,,,Breccia gialla appears to be a rather general name for breccias of yellow/white clasts in a yellow matrix of unknown provenance.,112,,,,,Imperial Period,14,2291,309,1540,309,3000,309,,,,,,,Image in folder,112,,,,,,,,,,,,
breccia pavonazza di Ezine,,,marble,14,,,Similar to pavonazzetto; a name that refers to purple/gray veins; brecciato red-violet marble,14; 26; 162,0.2,295,0.3,295,,,"Quarried at Göynükören, Upper Tembris valley, Turkey; local use",14,"some pottery found by Gnoli in Piazza Armerina, in Ostia and in Rome, where he also saw a fragment of a column of about 28 cm. in diameter.",162,"mention of this stone inscribed in a catalog dating back to F. Belli, 'apiolite.'",162,Some large slabs of this marble can be seen in the floor of the orchestra of the Asclepieion theater in Pergamon.,162,,,"Image description listed as polymict limestone/marble breccia-conglomerate with red, calcareous mudstone/lateritic matrix, and stylolites.",112,"used in Asia Minor, at least since the 2nd century in Rome",271,,,Imperial Period,14,2716,309,2510,309,3140,309,,,,,,,Image in folder,112,,,,,,,,,,,,
breccia policroma della Vittoria,,,marble breccia,14,,,"policroma means ""multi-colored"" ",14,0.2,295,0.3,295,0.4,114,"Quarried at Akrini, near Kozani, modern Greece; local and inter-regional use",14,,,,,,,,,,,,,,,,,2702,114,,,,,,,,,,,Image in folder,114,,,,,,,,,,,,
breccia rosata di Roselle,,,Marble breccia,14,,,Pink,14,0.2,295,0.3,295,,,"Exported regionally from Roselle, Grosseto province of Italy",14,,,,,,,,,,,,,,,Imperial Period,14,,,,,,,,,,,,,Image in folder,213,,,,,,,,,,,,
brêche des Romains,,,Breccia ,14,,,"Yellow, ""with grey streaks and rose patches"" ",14,,,,,,,"Quarried at La-Pène-Saint- Martin, Lady, right bank of the Garonne, France, across from Saint- Béat; exported regionally ",14,,,,,,,,,,,early 2nd century CE,14,,,"Imperial period, esp. from the Trajanic period onward (early 2nd century CE)",14,2700,12,1540,309,3000,309,,,,,,,Image in folder,12,,,,,,,,,,,,
Buixcarró limestone,,,limestone,14,,,Pink-yellow,14,0.2,295,0.3,295,,,"Quarried at Barxeta, 50 km S of Valencia, Spainexported regionally in Roman times ",14,,,,,"because it is easily polished, it is widely used in architectonic decoration",115,,,,,,,,,,,2484,309,1890,309,3010,309,,,,,,,image in folder,214,,,,,,,,,,,,
castracane dorato,,,limestone,14,,,"Dark golden yellow…with spirals of yellow and cream-white, some grey ",14,0.2,295,0.3,295,,,"Quarried at Henchir el Kasbat, ancient Thuburbo Maius, Tunisia, and exported regionally",14,,,,,used in Italy apparently only in Flavian time for small columns and as decorative plates,258,,,,,early Flavian; 69 CE,258; 259,late Flavian; 96 AD,258; 259,Imperial Period,14,2484,309,1890,309,3010,309,,,,,,,Image in folder ,116,,,,,,,,,,,,
cipollino tenario,,,marble,14,,,"gray-black ""with circular veins and streaks in grey-white""",14,0.2,295,0.3,295,,,"Quarried at Kourelos, Mani peninsula, Greece; esp. exported to Rome",14,,,,,"cipollino tenario used in pilasters, spoila, columns, in Naples",118,,,"tenario as a subset of cipollino named to distinguish it from Euphea quarries in the Roman empire; composed of etheroblastic calcitic plagas, sometimes very fine-grained with abundant quartz and plagioclase dispersed and rarer lamellae or iso-oriented phyllosilicate needles with prevalent chlorite and k-mica",129; 132,2nd century CE,,,,Exported between regions by the 2nd century CE,14,2716,309,2510,309,3140,309,,,,,,,Image in folder ,113,,,,,,,,,,,,
Anician stone,"peperino grigio/rosso, peperino di Viterbo, peperino duro; peperino Soriano, peperino Vitorchiano",12,quartzlatitic ignimbite (tuff) from Monte Cimino,12,Quaternary or Tertiary period,12,gray/red/pink; similar to lapis albanus/peperino,12; 42,,,,,4.28,12,"Region of the Tarquinii, modern Viterbo, Lazio, Italy; quarried around Lake Bolsena and in the Statonia prefecture",42,"Monuments in the area of Ferento, Italy, including large statues and smaller carvings",67,"Vitruvius muses that if the quarries were nearer to Rome, ""it would be worthy, that all our works be made from [them]"" [[De Architectura 2.7.4]]",67,Romans used it to build the Ferento theatre,130,,,was the main building material of the Middle Ages and Renaissance ,130,,,,,"Used since Paleolithic, then by Romans and Etruscans",130,2225,12,1410,309,2940,309,27400,12,,,,,Image in folder ,130,5.2,12,,,,,,,25.5,12,44.2,12
Foresto marble,,,marble,14,,,white or blue-gray ,14,0.2,295,0.3,295,0.41,296,"Quarried at Bussoleno, near Susa, Italy, local use",14,"the Susa arch, in 9–8 BC by the indigenous King Marcus Iulius Cottius, ancient Road to Gaul, constructed in order to celebrate an agreement between Romans and local Alpine autonomous tribes near the Praetorium, the headquarters of the Roman praefectus",131,,,The first temple to be constructed in Rome of marble was the Temple of Jupiter Stator built by the victor over the Macedonians,119,,,"By the 1st century BC, the use of marble was becoming fashionable in the houses and villas of the rich; Construction in marble was an expensive business with the transport costs sometimes many times greater than the quarrying costs",119; 120,,,,,Imperial Period,14,,,2825,296,2840,296,,,,,,,Image in folder ,153,,,,,,,,,,,,
granito del Giglio,"granitello antico, granito grigio minuto del Giglio","13,14",monzogranite,13,,,"black/white/grey; medium-grained, tints of pink",13; 14,,,,,,,"Italy, Tuscany, Island of Giglio; east coast; local and regional (mostly Rome) use; Punta dell'Arenella (Cava del Piccione), Punta del Lazzaretto, Scalettino of Giglio Porto, Cala delle Cannelle (Gran Cava), Cala delle Caldane (Bonsere) and Cala degli Trees",13; 14; 133,"Columns: S. Croce in Jerusalem, S. Maria Maggiore, SS Giovanni e Paolo, S. Lorenzo in Lucina, S. Anastasia, S. Crisogono in Trastevere. S. Pietro in Vincoli, portico del Palazzo della Cancelleria, portico in Via dei SS Quattro Coronati, Palazzo Bonicelli. Paving stones, scalini, arches",13,,,"one of the oldest quarries known as Cava del Foriano, examples of Giglio granite columns exist in the Roman Villa of Giannutri, in the Porto Neroniano of Anzio, in the Forum of Caesar and in the Pantheon of Rome. Columns of sure Giglio origin, probably bare of ancient Roman monuments, are present in the tower of Pisa, in the Baptistery of Florence, in the Pieve of Santa Maria Assunta of San Leo in Rome, in the Basilica of San Piero a Grado in Pisa, in the Basilica of Holy Cross in Jerusalem of Rome, in the Duomo of Gaeta, in the Cathedral of Naples and in the Pompeian Garden of the Royal Palace of Caserta in Naples; more construction stone than decoration",133; 184,,,"granite was not used extensively for bulky architecture until the mid 1st century BC at the earliest; Granito del Giglio, exported in large quantities to Rome, for the use of small or medium-sized columns, and difficult to distinguish from other similar stones coming from the Troas",120; 184,reign of Julius Caesar,133,19th century ,133,Imperial Period,14,,,,,,,,,,,,,image in folder,185,,,,,,,,,,,,
granito di Nicotera,,,"granite; composed mainly of intermediate plagioclase, quartz and biotite, with or without hornblende",14; 141,"Palaeozoic and possibly Precambrian, minor Jurassic ophiolite sequences and Mesozoicto Recent cover series, 295 to275 MYA",139,,,0.2,295,0.3,295,,,"Quarried at Nicotera, NW Calabria, Italy; used locally and across Italy ",14,"Pottery finds, Nicotera, it is possible to date the beginning of the quarry activity to the first century ad. It is very likely that the exploitation continued to some extent in the following centuries, and came to an end in the fourth century (as suggested by a coin foundin sector C of the quarry)",140,,,granito di nicotera and granito del foro are often difficult to distinguish with just the human eye,136,,,"During the Roman Imperial era, granites and, generally, granitoid rocks, were widely used in theMediterranean area for ornamental purposes and especially, given their intrinsic good physicaland mechanical characteristics, for columns and pillars",134,1st century CE,138,4th century CE,138,Imperial Period;The existence of a Romanquarry that was active from the first to the fourth centuries ad was first discovered in the early1970s and then confirmed in the 1980s ,14; 138,2640,309,2330,309,2940,309,,,,,,,Image in folder,137,,,,,,,,,,,,
gris pinta,,,marble,14,,,Gray,14,0.2,295,0.3,295,,,"Quarried at Alconera, near Badajoz, modern Spain; local and regional use",14,,,,,,,,,,,,,,,,,2716,309,2510,309,3140,309,,,,,,,Image in folder,143,,,,,,,,,,,,
Grottarossa Pyroclastic Sequence,"cappellaccio, although this ambiguous term should be avoided; Tufo Granulare (Grigio)",10;146 ,"Quarried from ignimbrite, an unstructured deposit produced by pyroclastic flow",32,"514,000 years old, +/- 5,000",10,"Olive gray with several white leucite fragments, some of which have been replaced by analcime",37,,,,,,,"Monti Sabatini volcano, with outcrops atop the Palatine Hill ",37,"Hut village in the Early Iron Age (9th-8th century BCE), cisterns/granaries (5th or 6th century BCE), corbelled walls ",65,,,"strongly linked to volcanic activity; “Peperino” has also been used to describe both the Grottarossa Pyroclastic Sequence which are reported in the literature with the generic name of “Peperino Grigio” or with the similarly generic archeological name “cappellaccio” These rocks present an appearance similar to Lapis Albanus and Lapis Gabinus, but with a less lithified character",144; 146,,,"Not to be confused with Tufo del Palatino, although both are referred to as cappellaccio; poorly lithified with about 30% lava and crystal fragments",37; 65,,,,,,,1986,309,1130,309,2350,309,,,2942,,14710,,Image in folder (2),145; 147,,,,,,,,,,,,
marmo bianco di Saint-Béat,,,Marble,14,,,"Fine- to medium-grained, pure white ",14,0.2,295,0.3,295,,,"Quarried at Saint-Béat, central Pyrenees, France, and later ""exported across most of southern and western Gaul"" ",14,,,,,"the white marble quarries in Saint-Beat allowed the construction of the Trajan column in Rome, the white marble quarry, known as the Roman breccia, which has been used since Roman times. It also allows the extraction of turquoise blue marble.",148,,,"The marble was used to built Roman towns as Lugdunum Convenarum, which is called Saint-Bertrand-de-Comminges today, and how every year it is used in a sculpture festival in Saint-Beat. ",149,1st century BCE,14,,,"Local use from late 1st century BCE, exported in the Imperial Period",14,2716,309,2510,309,3140,309,,,,,,,image in folder,149,,,,,,,,,,,,
marmo di Ippona,,,marble,14,,,"white, ""with distinct blue and grey streaks"" ",14,0.2,295,0.3,295,,,"Quarried from the cliff Cap de Garde, 12 km from Annaba, Algeria; local and regional use",14,,,,,,,,,,,,,,,,,2716,309,2510,309,3140,309,,,,,,,,,,,,,,,,,,,,
marmo di Tegea,marmo di Doliana,14,Recrystallized limestone,14,,,Dark gray-black ,14,0.2,295,0.3,295,,,"Quarried at Doliana, in the Tegea territory of Arcadia, Greece; local use",14,"The temple of Athena Alea in Tegea, in Arcadia, was built by the Cycladic sculptor and architect Skopas in Doliana marble ",215,,,"the building of the temple is also dated back to the work of Skopas at the Mausoleum of Halicarnassus, between 345 and 335 BC ",215,,,built on the remains of an archaic temple burned in 395-394 BC,215,,,,,Classical period onward,14,,,,,,,,,,,,,image in folder,216,,,,,,,,,,,,
marmo gortino,,,Marble,14,,,"Gray-blue/white, dark veins ",14,0.2,295,0.3,295,,,"Used locally, with quarries at Ntikali, southern Crete",14,,,,,,,,,,,,,,,"""Roman period and possibly earlier"" ",14,2716,309,2510,309,3140,309,,,,,,,,,,,,,,,,,,,,
marmo imetto,"marmor hymettium, Hymettus marble, marmo dell'Imetto, marmo cipolla, imezio.",15,Marble,15,,,"Grey/blue/beige; or, white with gray veins",15; 14,0.2,295,0.3,295,,,"Greece, Athens, Mount Hymettus.",15,"Columns: S. Maria Maggiore, Piazza S. Maria Maggiore, S. Paolo fuori le Mura, S. Pietro in Vincoli. Paving stones: S. Maria degli Angeli e dei Martiri. Wall stones: 2 pilastres in the Arco degli Argendari. Conche: Villa Giulia, Architraves.",15,"Strabo, Geography: 9.1.23; Pliny the Elder claims Hymettian marble was the first foreign marble imported to Rome (early 1st century BCE); also mentioned in Natural History 17.1, 36.24",76; 77; 79,91 BC Licinius Crassus brought censure upon himself when he used six columns of Hymettian marble in the atrium of his house on the Palatine,119,,,"met 1st century Rome's demand for white marble; Imezio marble, white with bigiastro color and frequent darker lists, was mainly used for architecture. It was among the first marbles imported to Rome, and easily confused with the Proconnesio. The bituminous scent that emanates just broken has earned it, among the Romani stonemasons, the name of 'marmo cipolla.'",119; 178,in Rome since the beginning of the 1st century BCE,285,,,"Local use from the Classical period (dates?), inter-regional exportation during Roman times ",14,2716,309,2510,309,3140,309,,,,,,,image in folder,179,,,,,,,,,,,,
marmo megarense,,,marble,14,,,,,0.2,295,0.3,295,,,"Quarried at Megara, central Megarid, Greece; local use from Archaic period onwards",14,,,,,"In two letters, Cicero asked Attico about statues of Megarense marble supposedly found in Athens ",151,,,,,,,,,,,2716,309,2510,309,3140,309,,,,,,,image in folder,112,,,,,,,,,,,,
